Activity Master: Activity Master Number,Zone,Activity Code,Activity Name,Activity Name (Arabic),Status,Minimum Share Capital,License Type,License Type (Arabic),Is Not Allowed for Coworking(ESR),RAKEZ HSE Risk Classification,Compliance Risk Rating,Is Special,Activity Price,Activity Group,Activity Group (Arabic),Segment Name English,Segment Name Arabic,Description,Description (Arabic),Qualification Requirement,Documents Required
AM-08933,Freezone,113005,Advanced Agriculture for vegetables and the melons and the roots and the tubers,الزراعة المتطورة للخضروات والبطيخيات والجذور والدرنات,Active,,Services,خدمية,-,Low,,Standard,,Agricultural,الزراعة,,,"Includes agricultural firms specialized in advanced growing by using methods of hydroponics, vertical farming and greenhouses or other non- traditional methods to grow leafy vegetables, fruits bearing vegetables, melon species, root-planting, tuberous vegetables., also, mushroom and other vegetable for commercial purpose, such firms are allowed to import materials used in the agricultural operations, such as, seeds, chemical and organic fertilizers, pesticides, as well as the specialized agricultural tools.",يشمل المنشآت الزراعية المتخصصة في الزراعة بالطرق المتطورة بإستخدام الزراعات المائية والعمودية والبيوت الحديثة أوغيرها من الطرق غير التقليدية لزراعة الخضر الورقية والخضر المثمرة وأنواع البطيخيات وزراعة الجذور أو الأبصال والخضر الدرنية، كما يشمل زراعة الفطر وزراعة الخضر الأخرى للأغراض التجارية، يسمح لهذه المنشآت إستيراد المواد والأدوات التي تستخدمها في العمليات الزراعية مثل البذور والتقاوي، الأسمدة الكيماوية والعضوية والمصلحات الزراعية، مبيدات الآفات الزراعية، وكذلك الأجهزة الزراعية المتخصصة,,Ministry of Climate Change and Environment
AM-03524,Freezone,809053,Advanced First Aid Training Center,مركز تدريب إسعافات متقدمة,Inactive,,Educational,تعليمية  ,-,Low,,Standard,"10,000",Training Institute,معهد تدريب,,,"A center specialized in scientifically designing and providing training programs in advanced first aid and its applications, in order to save a life or alleviate injury impacts to minimal level and facilitate therapeutic procedures to be done by the doctor.",هو مركز متخصص في تصميم وتقديم برامج تدريبية في مجال الإسعافات المتقدمة وتطبيقها بشكل علمي يهدف إلى إنقاذ حياة المصاب أو تخفيف آثار الإصابة إلى الحد الأدنى وتسهيل الأعمال العلاجية التي سيجريها الطبيب.,,"National Ambulance, Academic Zone,"
AM-06520,Non-Freezone,7310015,Advertisement,دعاية واعلان,Inactive,,Professional,مهنية,-,,,Standard,,Professional1,,,,,,,Media Regulatory Office / Ministry of Culture & Youth
AM-06521,Non-Freezone,7310001,Advertisement Agency,وكالة الدعاية والإعلان,Inactive,,Professional,مهنية,-,Low,,Standard,,Professional1,,,,,,,Media Regulatory Office / Ministry of Culture & Youth
AM-08572,Non-Freezone,7310001,Advertisement Agency,وكالة الدعاية والإعلان,Active,,Professional,مهنيــــــــــة,-,Low,,Standard,,publicity and announcement,الدعاية والإعلان,publicity and announcement,الدعاية والإعلان,,,,Media Regulatory Office / Ministry of Culture & Youth
AM-01312,Non-Freezone,8129010,Advertisement Boards Cleaning Services,خدمات تنظيف اللوحات الاعلانية,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,
AM-03701,Freezone,743002,Advertisement Designing & Producing,تصميم وانتاج الاعلانات,Active,,Services,خدمية,-,Low,,Standard,,Advertising,الدعايه و الاعلان,,,"Includes firms which design commercials and produce the same on audio or video tapes, paintings and photographs for newspapers and magazines, or wall posters.",يشمل تصميم الإعلانات التجارية وإنتاجها على شرائط إذاعية أو تلفزيونية أو سينمائية، أو إنتاجها على شكل لوحات وصور للصحف والمجلات أو على هيئة ملصقات لتثبيتها على الحوائط.,,
AM-01929,Non-Freezone,7310005,Advertisement Material and Samples Distribution,توزيع المواد الاعلانية والعينات,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,Media Regulatory Office / Ministry of Culture & Youth
AM-08573,Non-Freezone,7310006,Advertisements Designing and Production,تصميم وإنتاج الاعلانات,Active,,Professional,مهنيــــــــــة,-,Low,,Standard,,publicity and announcement,الدعاية والإعلان,publicity and announcement,الدعاية والإعلان,,,,Media Regulatory Office / Ministry of Culture & Youth
AM-01930,Non-Freezone,7310006,Advertisements Designing and Production,تصميم وإنتاج الاعلانات,Inactive,,Professional,مهنية,-,Low,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,Media Regulatory Office / Ministry of Culture & Youth
AM-02571,Freezone,100001,Advertising & Communication Agency,وكالة الإعلانات والمعلومات,Inactive,,Media,اعلام,-,Low,,Standard,"15,000",Advertising & Communication,الإعلانات وتبادل المعلومات,,,Advertising & Communication Agency,وكالة الإعلانات والمعلومات,,Media Brief Form
AM-06778,Freezone,100001,Advertising & Communication Agency,وكالة الإعلانات والمعلومات,Active,,Media,اعلام,-,Low,,Standard,,Media & Marketing Services,الخدمات التسويقية والإعلامية,,,Advertising & Communication Agency,وكالة الإعلانات والمعلومات,,Media Brief Form
AM-02088,Non-Freezone,100743004,Advertising Agency,وكالة إعلان,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-06952,Freelance Permit,1514111,ADVERTISING EDITOR,محرر دعايه ونشر,Active,,Freelance Permit,تصريح حر,-,Low,,,,Media,اعلام,,,,,,
AM-01867,Freezone,513908,Advertising Requisites Trading,تجارة الوسائل والادوات الاعلانية,Active,,Commercial,تجارية,-,Low,,Standard,,Advertising,الدعايه و الاعلان,,,"Includes reselling indoor and outdoor advertising requisites like boards, electric and non-electric signs as well as promotional gifts and similar items.",هي إعادة بيع الأدوات والتجهيزات التي تستخدم في الأغراض الإعلانية والترويجية المختلفة سواء لاستخدامها في الأجواء الداخلية أو الخارجية كاللوحات واللافتات الإعلانية الكهربائية وغير الكهربائية، كما يشمل ذلك إعادة بيع الهدايا الإعلانية وما شابهها.,,
AM-03703,Freezone,743001,Advertising Researches & Consultancies,استشارات ودراسات اعلانية,Active,,Services,خدمية,-,Low,,Standard,,"Consultancy -D- management, information and marketing",الاستشارات - الادارة والمعلومات,,,"Includes providing advertising organizations advice and assistance on the creation of advertising campaigns and placement of such advertising in periodicals in order to encourage and persuade consumer behavior with respect to a commercial offering, also to employing different methodologies of research that works to improve the effectiveness and efficiency of advertising, such firms are not allowed to conduct field questionnaire before getting approval from the competent authority.",يشمل المنشآت التي تقدم للمؤسسات الإعلانية الإستشارات حول تصميم الحملات الإعلانية وكيفية عرض الإعلانات على الوسائط الإعلامية المختلفة بهدف التأثير على خيارات المستهلكين فيما يختص بالعروض التجارية المعلن عنها، كما يشمل القيام بإجراء البحوث التي تساعد المؤسسات المذكورة في تحسين أدائها الإعلاني، لا يسمح لهذه المنشآت إجراء المسوحات الميدانية إلا بعد موافقة الجهات المختصة.,,
AM-02086,Non-Freezone,100743001,Advertising Researchs 1,إستشارات ودراسات إعلانية,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-08951,Freezone,7310026,Advertising Services via Websites,الخدمات الاعلانية عبر المواقع الالكترونية,Inactive,,Media,اعلام,-,Low,,Standard,,Media & Marketing Services,الخدمات التسويقية والإعلامية,,,Includes firms that seek to provide advertising services for marketing and promoting different products through their accounts in social media or via the Internet.,شمل المنشآت التي تعمل على تقديم الخدمات الاعلانية بالتسويق والترويج للمنتجات المختلفه عبر حساباتهم في مواقع التواصل الاجتماعي أو عبر شبكات الانترنت.,,"Media Regulatory Office / Ministry of Culture & Youth, Media Brief Form"
AM-01854,Freezone,7430-06,Aerial Advertising Services,خدمات الإعلان بالطائرات,Active,,Services,خدمية,-,Low,,Standard,,Advertising,الدعايه و الاعلان,,,"Activity Not Allowed for Flexi Units. ncludes artworks, pictures, multiple word messages designed on banners flown by airplane in short trips at altitudes and routes permitted by the authorities in charge of air traffic. Airplanes must meet the safety requirements set by the concerned authorities. No firm can practice this activity prior to obtaining the required approvals from the general aviation Authorities and Civil Aviation Department.","يشمل تصميم الإعلانات التجارية وغيرها وإنتاجها على شكل صور أو عبارات مكتوبة ليتم سحبها خلف الطائرات الخفيفة في رحلات قصيرة على إرتفاعات ومسارات وأماكن تحددها الهيئات والسلطات المختصة بتنظيم الحركة الجوية, ويشترط أن تخضع الطائرات لمواصفات السلامة التي تقررها تلك الهيئات, كما يشترط في المنشآت التي تمارس هذا النشاط الحصول على موافقة الهيئة العامة للطيران المدني ودائرة الطيران المدني.",,"Department of Civil Aviation, Business Plan"
